Order,PID,Lot.Frontage,Lot.Area,Year.Built,Year.Remod.Add,Mas.Vnr.Area,BsmtFin.SF.1,BsmtFin.SF.2,Bsmt.Unf.SF,Total.Bsmt.SF,X1st.Flr.SF,X2nd.Flr.SF,Low.Qual.Fin.SF,Gr.Liv.Area,Bsmt.Full.Bath,Bsmt.Half.Bath,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,TotRms.AbvGrd,Fireplaces,Garage.Yr.Blt,Garage.Cars,Garage.Area,Wood.Deck.SF,Open.Porch.SF,Enclosed.Porch,X3Ssn.Porch,Screen.Porch,Pool.Area,Misc.Val,Mo.Sold,Yr.Sold,SalePrice,MS.SubClass.fact,MS.Zoning.fact,Street.fact,Lot.Shape.fact,Land.Contour.fact,Utilities.fact,Lot.Config.fact,Land.Slope.fact,Neighborhood.fact,Condition.1.fact,Condition.2.fact,Bldg.Type.fact,House.Style.fact,Overall.Qual.fact,Overall.Cond.fact,Roof.Style.fact,Roof.Matl.fact,Exterior.1st.fact,Exterior.2nd.fact,Mas.Vnr.Type.fact,Exter.Qual.fact,Exter.Cond.fact,Foundation.fact,Bsmt.Qual.fact,Bsmt.Cond.fact,Bsmt.Exposure.fact,BsmtFin.Type.1.fact,BsmtFin.Type.2.fact,Heating.fact,Heating.QC.fact,Central.Air.fact,Electrical.fact,Kitchen.Qual.fact,Functional.fact,Garage.Type.fact,Garage.Finish.fact,Garage.Qual.fact,Garage.Cond.fact,Paved.Drive.fact,Sale.Type.fact,Sale.Condition.fact,TotalArea,HasFireplace,Remodeled
272,907410080,70,8400,2004,2005,109,712,0,761,1473,1484,0,0,1484,1,0,2,0,3,1,7,0,2004,2,606,0,35,0,144,0,0,0,5,2010,213000,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,Gd,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD ,Normal,2957,0,1
273,907414030,65,8773,2004,2004,98,24,0,1390,1414,1414,0,0,1414,0,0,2,0,3,1,6,0,2004,2,494,132,105,0,0,0,0,0,5,2010,185500,20,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,Gd,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD ,Normal,2828,0,0
274,908102060,67,8777,1945,2007,0,0,0,0,0,640,0,0,640,0,0,1,0,2,1,5,0,1945,1,240,0,0,0,0,0,0,0,4,2010,84900,30,RL,Pave,Reg,Lvl,AllPub,Inside,Mod,Edwards,Feedr,Norm,1Fam,1Story,3,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,No Basement,No Basement,No Basement,No Basement,No Basement,GasA,TA,N,SBrkr,TA,Min1,Detchd,Unf,TA,TA,N,ConLD,Normal,640,0,1
275,908102110,68,8842,1954,1954,0,0,0,381,381,992,0,0,992,0,0,1,0,3,1,6,0,1954,1,319,60,0,56,0,0,0,0,1,2010,155891,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Fa,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,Oth,Abnorml,1373,0,0
276,908102130,75,9825,1965,1965,0,0,0,0,0,1664,0,0,1664,0,0,2,0,4,2,8,0,NA,0,0,0,0,0,0,0,0,0,5,2010,100000,90,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5,Hip,CompShg,AsphShn,AsphShn,None,TA,TA,CBlock,No Basement,No Basement,No Basement,No Basement,No Basement,GasA,TA,N,SBrkr,TA,Typ,No Garage,NA,No Garage,No Garage,Y,WD ,Normal,1664,0,0
277,908102170,60,10044,1968,1968,0,1070,0,126,1196,1196,0,0,1196,1,0,1,0,3,1,6,0,1968,1,336,257,0,168,0,0,0,0,6,2010,144000,20,RL,Pave,IR1,Low,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,WD ,Normal,2392,0,0
278,908102300,89,11792,1948,1950,0,0,0,744,744,792,328,0,1120,0,0,1,0,2,1,5,0,1956,2,480,0,0,0,0,160,0,0,6,2010,64000,50,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,N,FuseF,Fa,Typ,Detchd,Unf,TA,Fa,P,WD ,Abnorml,1864,0,1
279,908103350,65,6305,1975,1975,0,528,0,480,1008,1096,0,0,1096,1,0,1,0,3,1,5,1,1975,1,352,0,0,0,0,0,0,0,6,2010,125200,80,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,6,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD ,Normal,2104,1,0
280,908152080,94,7819,1976,1976,0,422,127,480,1029,1117,0,0,1117,1,0,1,0,3,1,6,1,1976,2,672,144,0,0,0,0,0,0,3,2010,107000,80,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,5,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,Av,ALQ,BLQ,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD ,Abnorml,2146,1,0
281,908203100,64,6410,1958,1958,0,0,0,960,960,960,0,0,960,0,0,1,0,3,1,5,0,NA,0,0,0,0,0,0,0,0,0,5,2010,90000,20,RL,Pave,Reg,HLS,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,Hip,CompShg,WdShing,Wd Shng,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,No Garage,NA,No Garage,No Garage,Y,WD ,Normal,1920,0,0
282,908208020,80,8546,2003,2004,0,0,0,1121,1121,1121,0,0,1121,0,0,2,0,2,1,5,0,2003,2,440,132,64,0,0,0,0,0,3,2010,140000,20,RM,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,WD ,Normal,2242,0,1
283,908225320,52,8741,1945,1950,0,94,0,641,735,798,689,0,1487,0,0,1,1,3,1,7,1,1949,1,220,0,140,0,0,0,0,0,4,2010,113000,50,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,Fa,No,LwQ,Unf,GasA,TA,Y,FuseA,TA,Typ,Detchd,Unf,TA,TA,Y,WD ,Normal,2222,1,1
284,908226130,60,12180,1941,1950,0,348,0,324,672,672,252,0,924,1,0,1,0,2,1,5,0,1941,1,280,0,0,0,0,0,0,0,7,2010,80000,190,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1.5Fin,4,4,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,Gd,TA,No,BLQ,Unf,Grav,Fa,N,FuseA,Fa,Typ,Detchd,Unf,TA,TA,Y,WD ,Normal,1596,0,1
285,908275300,68,8562,1957,2002,145,383,0,833,1216,1526,0,0,1526,0,0,1,0,4,1,7,1,1957,1,364,116,78,0,0,0,0,0,5,2010,144500,20,RL,Pave,Reg,Lvl,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,TA,Av,Rec,Unf,GasA,Ex,Y,FuseA,TA,Min2,Basment,Unf,TA,TA,Y,WD ,Normal,2742,1,1
286,909100080,67,4853,1924,1999,203,133,0,974,1107,1296,0,0,1296,0,0,2,0,2,1,5,1,1979,1,260,0,0,36,0,0,0,0,5,2010,104000,30,RL,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Artery,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,VinylSd,BrkFace,TA,TA,BrkTil,TA,TA,Mn,Rec,Unf,GasA,Fa,N,FuseA,Fa,Typ,Detchd,Unf,TA,TA,Y,WD ,Normal,2403,1,1
287,909100110,66,6858,1915,1950,0,0,0,806,806,841,806,0,1647,1,0,1,1,4,1,6,0,1920,1,216,0,66,136,0,0,0,0,5,2010,128000,70,RL,Pave,Reg,Bnk,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,2Story,6,4,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,TA,N,FuseF,Fa,Typ,Detchd,Unf,TA,TA,Y,WD ,Normal,2453,0,1
288,909101070,45,8212,1914,1950,0,203,0,661,864,864,0,0,864,1,0,1,0,2,1,5,0,1938,1,200,0,0,96,0,0,0,0,6,2010,58500,30,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,Gable,CompShg,Stucco,Stucco,None,TA,TA,BrkTil,TA,Fa,No,Rec,Unf,GasA,TA,N,FuseF,TA,Typ,Detchd,Unf,TA,Fa,Y,WD ,Normal,1728,0,1
289,909176140,50,5000,1924,1950,0,218,0,808,1026,1026,665,0,1691,0,0,2,0,3,1,6,1,1924,1,308,0,0,242,0,0,0,0,5,2010,127000,50,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Detchd,Unf,TA,TA,Y,WD ,Normal,2717,1,1
290,909176150,NA,7890,1939,1950,0,238,0,618,856,856,0,0,856,1,0,1,0,2,1,4,1,1939,2,399,0,0,0,0,166,0,0,3,2010,126000,30,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD ,Normal,1712,1,1
291,909177100,60,7200,1967,1967,0,0,0,0,0,862,1788,0,2650,0,0,3,0,6,2,10,0,NA,0,0,0,0,0,0,0,0,500,2,2010,160000,90,RH,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,Duplex,2Story,4,6,Flat,Tar&Grv,Plywood,CBlock,None,TA,TA,Slab,No Basement,No Basement,No Basement,No Basement,No Basement,GasA,TA,Y,SBrkr,TA,Min2,No Garage,NA,No Garage,No Garage,Y,WD ,Normal,2650,0,0
292,909250030,51,9839,1931,1950,0,0,0,894,894,894,772,0,1666,1,0,1,0,3,1,7,1,NA,0,0,0,156,0,0,0,0,0,5,2010,100000,50,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,5,2,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,Fa,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,No Garage,NA,No Garage,No Garage,N,WD ,Normal,2560,1,1
293,909250060,50,9638,1919,1990,0,0,0,804,804,1699,748,0,2447,0,0,2,0,4,1,10,1,1969,1,336,272,0,42,0,116,0,0,3,2010,169000,50,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,6,7,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Min2,Detchd,Unf,TA,TA,Y,WD ,Normal,3251,1,1
294,909281080,78,10452,1941,1985,371,426,252,850,1528,1225,908,0,2133,1,0,1,1,4,1,8,2,1941,1,312,0,0,86,0,0,0,0,7,2010,257500,50,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,6,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Gd,Gd,BrkTil,Gd,TA,No,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD ,Normal,3661,1,1
295,909426080,78,15600,1950,1991,430,375,0,657,1032,1102,1075,0,2177,0,0,2,1,5,2,11,0,1950,2,484,0,0,0,0,0,0,0,3,2010,215000,90,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,Duplex,2Story,5,6,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD ,Normal,3209,0,1
296,909427230,66,9042,1941,2006,0,275,0,877,1152,1188,1152,0,2340,0,0,2,0,4,1,9,2,1941,1,252,0,60,0,0,0,0,2500,5,2010,266500,70,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,9,Gable,CompShg,CemntBd,CmentBd,None,Ex,Ex,Stone,TA,Gd,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD ,Normal,3492,1,1
297,909428280,100,17500,1959,2002,0,1406,0,496,1902,1902,0,0,1902,1,0,2,0,3,1,7,2,1959,2,567,0,207,162,0,0,0,0,5,2010,335000,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,PosA,Norm,1Fam,1Story,7,8,Gable,CompShg,BrkFace,HdBoard,None,Gd,Gd,PConc,Gd,TA,Av,GLQ,Unf,GasA,TA,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,3804,1,1
298,909452114,85,19645,1994,2007,44,343,0,80,423,896,756,0,1652,1,0,2,1,3,1,6,0,1994,2,473,0,0,0,0,0,0,0,6,2010,203135,80,RL,Pave,IR1,Lvl,AllPub,FR2,Gtl,Crawfor,Norm,Norm,1Fam,SLvl,7,6,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,BuiltIn,RFn,TA,TA,Y,WD ,Normal,2075,0,1
299,909455030,35,3907,1989,1989,0,747,0,235,982,1034,0,0,1034,1,0,1,0,1,1,4,1,1989,2,598,141,36,0,0,0,0,0,4,2010,185000,120,RM,Pave,IR1,HLS,AllPub,Inside,Mod,Blueste,Norm,Norm,TwnhsE,1Story,8,6,Gable,CompShg,HdBoard,HdBoard,None,Gd,Gd,CBlock,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,2016,1,0
300,909455040,35,3907,1989,1989,0,76,0,1115,1191,1191,0,0,1191,0,0,2,0,2,1,5,1,1989,2,531,112,81,0,0,0,0,0,3,2010,162500,120,RM,Pave,IR1,HLS,AllPub,Inside,Mod,Blueste,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,HdBoard,HdBoard,None,Gd,Gd,CBlock,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,WD ,Normal,2382,1,0
301,909475140,100,15602,1959,1997,0,1247,0,254,1501,1801,0,0,1801,1,0,2,0,1,1,6,2,1959,2,484,0,54,0,0,161,0,0,3,2010,289000,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,7,8,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,3302,1,1
302,910202060,40,5436,1922,2007,0,735,0,61,796,796,358,0,1154,1,0,1,0,3,1,7,0,1922,1,240,0,96,0,0,0,0,0,5,2010,125500,50,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,8,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,BrkTil,TA,TA,No,BLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Detchd,Unf,TA,TA,N,WD ,Normal,1950,0,1
303,910203250,58,8154,1941,1950,0,480,0,0,480,540,0,0,540,0,0,1,0,1,1,4,0,1951,1,200,0,0,0,0,0,0,0,4,2010,82000,30,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,2,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,Fa,Fa,N,ConLw,Normal,1020,0,1
304,910205120,50,9140,1921,1975,0,308,0,321,629,727,380,0,1107,0,0,1,0,2,1,5,0,1950,1,625,0,56,0,0,200,0,0,4,2010,110000,50,RM,Pave,Reg,HLS,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,Mn,BLQ,Unf,GasA,Fa,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,COD,Normal,1736,0,1
305,911128180,60,7500,1920,1950,0,0,0,698,698,698,430,0,1128,0,0,1,0,2,1,6,0,1980,2,528,30,0,164,0,0,0,0,4,2010,68400,50,C (all),Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,4,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,FuseA,TA,Typ,Detchd,RFn,TA,TA,Y,COD,Abnorml,1826,0,1
306,911202100,66,8712,1900,1950,0,0,0,859,859,859,319,0,1178,0,0,1,0,2,1,7,0,1964,1,384,68,0,98,0,0,0,0,1,2010,102776,50,C (all),Pave,Reg,HLS,AllPub,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,7,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Stone,TA,TA,Mn,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Detchd,RFn,TA,TA,N,WD ,Abnorml,2037,0,1
307,911204090,66,8712,1952,1952,0,0,0,540,540,1044,0,0,1044,0,0,1,0,2,1,4,0,1952,2,504,0,0,0,0,0,0,54,6,2010,55993,20,C (all),Grvl,Reg,Bnk,AllPub,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,Fa,Fa,CBlock,TA,TA,Av,Unf,Unf,GasA,TA,N,FuseA,Fa,Typ,Basment,Unf,TA,TA,N,WD ,Alloca,1584,0,0
308,911204100,66,8712,1896,1950,0,0,0,756,756,952,0,0,952,0,0,1,0,3,1,5,0,1896,1,330,0,0,265,0,0,0,0,6,2010,50138,30,C (all),Grvl,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,7,Hip,CompShg,Wd Sdng,Wd Sdng,None,Fa,Fa,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Detchd,RFn,TA,TA,N,WD ,Alloca,1708,0,1
309,911370510,44,3811,2004,2005,186,1373,0,221,1594,1646,0,0,1646,1,1,2,0,2,1,5,1,2004,2,525,128,53,0,0,155,0,0,5,2010,246000,120,RM,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Artery,Norm,TwnhsE,1Story,8,5,Hip,CompShg,CemntBd,CmentBd,Stone,Gd,Gd,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,3240,1,1
310,914467040,85,11050,1998,1999,0,615,0,434,1049,1036,880,0,1916,1,0,2,1,3,1,8,1,1998,3,741,0,70,0,0,0,0,0,5,2010,254900,60,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,WD ,Normal,2965,1,1
311,914475090,74,9620,1977,1977,0,679,0,564,1243,1285,0,0,1285,0,1,2,0,3,1,6,1,1977,2,473,375,26,0,0,0,0,80,5,2010,190000,80,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,7,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,WD ,Normal,2528,1,0
312,914476520,129,9196,2003,2003,0,0,0,1560,1560,1560,0,0,1560,0,0,2,0,3,1,7,0,2003,2,573,100,150,0,0,0,0,0,4,2010,201000,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,PConc,Ex,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,3120,0,0
313,914478045,NA,12328,1976,1976,335,539,0,473,1012,1034,0,0,1034,1,0,1,0,3,1,6,0,1976,3,888,0,0,0,0,0,0,0,5,2010,169900,80,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,Av,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD ,Normal,2046,0,0
314,914478110,NA,12760,1976,1976,0,0,0,1958,1958,2048,0,0,2048,0,0,3,0,5,2,9,0,1976,2,776,0,0,0,0,0,0,0,3,2010,170000,90,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,6,5,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,2Types,Unf,TA,TA,Y,ConLD,Normal,4006,0,0
315,916125360,NA,57200,1948,1950,0,353,334,60,747,1687,0,0,1687,1,0,1,0,3,1,7,2,1966,2,572,0,0,50,0,0,0,0,6,2010,160000,20,RL,Pave,IR1,Bnk,AllPub,Inside,Sev,Timber,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Av,BLQ,Rec,GasA,TA,Y,SBrkr,TA,Min1,Detchd,Unf,TA,TA,N,WD ,Normal,2434,1,1
316,916386010,88,11896,2008,2008,60,78,0,1258,1336,1346,0,0,1346,1,0,2,0,3,1,6,1,2008,3,660,100,48,0,0,0,0,0,5,2010,220000,20,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,2682,1,0
317,916386020,73,9803,2009,2010,0,0,0,1214,1214,1214,0,0,1214,0,0,2,0,2,1,6,0,2010,2,520,0,25,0,0,0,0,0,1,2010,179781,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,New,Partial,2428,0,1
318,916386060,73,9802,2006,2007,0,0,0,384,384,744,700,0,1444,0,0,2,1,3,1,7,0,2007,2,400,100,0,0,0,0,0,0,4,2010,174000,60,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,BuiltIn,Fin,TA,TA,Y,WD ,Normal,1828,0,1
319,916386090,92,12003,2009,2010,84,0,0,774,774,774,1194,0,1968,0,0,2,1,4,1,8,1,2009,3,680,0,75,0,0,0,0,0,5,2010,269500,60,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,Gd,PConc,Ex,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,BuiltIn,Fin,TA,TA,Y,New,Partial,2742,1,1
320,916455170,80,11316,2002,2003,44,624,0,193,817,824,1070,0,1894,1,0,2,1,4,1,8,1,2002,2,510,0,40,0,0,0,0,0,2,2010,214900,60,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,BuiltIn,Fin,TA,TA,Y,WD ,Normal,2711,1,1
321,916475110,85,14191,2002,2002,0,0,0,967,967,993,915,0,1908,0,0,2,1,4,1,9,0,2002,2,431,135,0,0,0,0,0,0,4,2010,202900,60,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,2875,0,0
322,921128020,89,13214,2008,2009,0,0,0,2002,2002,2018,0,0,2018,0,0,2,0,3,1,10,1,2009,3,746,144,76,0,0,0,0,0,5,2010,378500,20,RL,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,Stucco,CmentBd,None,Ex,Ex,PConc,Ex,TA,Gd,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,4020,1,1
323,923201020,85,15300,1965,1977,0,42,0,1026,1068,1264,0,0,1264,1,0,1,0,2,1,7,1,1965,2,528,0,0,0,0,0,0,0,6,2010,169000,20,RL,Pave,Reg,Bnk,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,Plywood,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD ,Normal,2332,1,1
